央视,#genre#
安多卫视,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
三沙卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?IAS

体育,#genre#
五星体育,http://101.83.74.79:8686/udp/239.45.3.210:5140#http://61.173.95.181:4022/udp/239.45.3.210:5140
足球频道,http://nmglive.imfc.cn/5n1r1c/182396.m3u8
睛彩竞技HD,http://114.254.209.157:8888/rtp/239.3.1.125:8001
睛彩篮球HD,http://114.254.209.157:8888/rtp/239.3.1.126:8001
睛彩羽毛球HD,http://114.254.209.157:8888/rtp/239.3.1.127:8001
茶频道HD,http://114.254.209.157:8888/rtp/239.3.1.165:8001
体育赛事HD,http://114.254.209.157:8888/rtp/239.3.1.157:8176

电影,#genre#
东方影视,http://61.173.95.181:4022/udp/239.45.3.237:5140#http://101.83.74.79:8686/udp/239.45.3.237:5140
CHC高清电影,http://[2409:8087:4c0a:22:1::21]:6610/170000001115/UmaiCHAN6380764b172c9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNS8qWmEGeaUedzcFVVumqf9cm8lJoOcrIZueLbqOJTuoPV%2FwBk6CoHYGFV14SkLW04&
CHC家庭影院,http://[2409:8087:4c0a:22:1::22]:6610/170000001115/UmaiCHAN63807601b19dd/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNRxu2SqX2RKsLT0S7AyQ8XopIVrD6IJGxdajeuKy4iZqZ4tkZuiEpwSRPszF6PIvg4&IA
CHC动作电影,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380763222d00/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNSXQZMUEnZPBI3Y%2BI8ABE4PJC%2B6OvlZZw5ubC%2FbrIdxFJJY1CcAGU%2BYDDQV9oJ%2FVqQ
黑莓电影,http://[2409:8087:1a0b:df::4014]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8

北京,#genre#
北京IPTV淘剧场,http://115.171.216.54:4000/udp/225.1.8.37:8002
北京IPTV淘电影,http://115.171.216.54:4000/udp/225.1.8.38:8002
北京IPTV4K,http://115.171.216.54:4000/udp/225.1.8.211:8002
熊猫频道,http://115.171.216.54:4000/udp/225.1.8.210:8068
聚鲨环球精选,http://115.171.216.54:4000/udp/225.1.8.58:8002
聚鲨国际,http://115.171.216.54:4000/udp/225.1.8.66:8002
IPTV热播剧场,http://115.171.216.54:4000/udp/225.1.8.202:9020
IPTV经典电影,http://115.171.216.54:4000/udp/225.1.8.203:9024
IPTV魅力时尚,http://115.171.216.54:4000/udp/225.1.8.204:9012
城市剧场,http://115.171.216.54:4000/udp/225.1.8.227:4120
古装剧场,http://115.171.216.54:4000/udp/225.1.8.229:4120
音乐现场,http://115.171.216.54:4000/udp/225.1.8.230:4120
地理,http://115.171.216.54:4000/udp/225.1.8.231:4120
美妆,http://115.171.216.54:4000/udp/225.1.8.232:4120
美人,http://115.171.216.54:4000/udp/225.1.8.233:4120
精选,http://115.171.216.54:4000/udp/225.1.8.234:4120
解密,http://115.171.216.54:4000/udp/225.1.8.235:4120
军事,http://115.171.216.54:4000/udp/225.1.8.236:4120
好学生,http://115.171.216.54:4000/udp/225.1.8.241:4120
鉴赏,http://115.171.216.54:4000/udp/225.1.8.242:4120
墨宝,http://115.171.216.54:4000/udp/225.1.8.243:4120
光影,http://115.171.216.54:4000/udp/225.1.8.244:4120
台球,http://115.171.216.54:4000/udp/225.1.8.245:4120
高网,http://115.171.216.54:4000/udp/225.1.8.248:4120
足球,http://115.171.216.54:4000/udp/225.1.8.249:4120
武侠剧场,http://115.171.216.54:4000/udp/225.1.8.250:4120
喜剧影院,http://115.171.216.54:4000/udp/225.1.8.251:4120
动作影院,http://115.171.216.54:4000/udp/225.1.8.252:4120
家庭影院,http://115.171.216.54:4000/udp/225.1.8.253:4120
星影,http://115.171.216.54:4000/udp/225.1.8.254:4120
淘电影HD,http://114.254.209.157:8888/rtp/239.3.1.250:8001

韩国,#genre#
UBC SBS,https://epg.pw/stream/594cf8b3fcaeabcaa4903fe4de93be09630018d2eb0c790c54b37f9134fcf508.m3u8
TVN Asia[geo-blocked],https://epg.pw/stream/6ed36a60289ade64090589e6edda8660c618c46dcc2af43b39a701dd1991ca69.ctv
